id,title,description,url,category,status,icon,feature
9,智慧銷售預測系統,透過歷史銷售數據與市場變化，自動預測未來銷售趨勢，支援存貨與生產計畫。,http://122.100.99.161:8080/chat/jGAAry7bLqS3AhiR,工廠管理,advanced,工廠管理,
10,設備異常預警系統,針對製造設備、伺服器或車隊進行異常預測，降低故障率與維修成本。,http://122.100.99.161:8080/chat/1TSqRBhzlAS64Hqa,工廠管理,advanced,工廠管理,
11,智慧供應鏈優化系統,AI 分析物流數據、天氣、需求預測等多變因，建議最適存貨與配送路徑。,http://122.100.99.161:8080/chat/vjY1rKqSeYxeLGiL,工廠管理,advanced,工廠管理,
4,生產良率分析與預測維護,分析設備感測數據，預測維修時機並改善良率。,http://122.100.99.161:8080/chat/WXLZ5jG5XPKB4xIG,工廠管理,advanced,工廠管理,
9,客服文本分析與情緒辨識,分析客訴內容與情緒，提供改善建議與熱點預警。,http://122.100.99.161:8080/chat/GWeaGS9CQXf42fN6,工廠管理,advanced,工廠管理,
15,ESG報告與自動稽核,自動彙整永續資料並生成報告草稿，強化ESG揭露能力。,http://122.100.99.161:8080/chat/1MS2Y2M9NJP4Tshm,工廠管理,advanced,工廠管理,
4,原料損耗追蹤與異常預警,分析原物料投入與產出比，監控浪費或機台設置問題。,http://122.100.99.161:8080/chat/xMfK4iB2EokdxJz2,工廠管理,advanced,工廠管理,
11,製程配方歷史最佳化回溯,建立生產知識庫，回溯歷史成功案例製程參數。,http://122.100.99.161:8080/chat/5gUdZLb1tO1N5Q4U,工廠管理,advanced,工廠管理,
1,製程參數最佳化,透過AI分析歷史製程參數與良率數據，自動調整機台設定以達到最佳品質。,http://122.100.99.161:8080/chat/MqnpGEE0g9RdUjsP,工廠管理,advanced,工廠管理,
3,財務報表自動審核,AI自動比對各報表間的邏輯關聯，快速找出異常科目或錯帳。,http://122.100.99.161:8080/chat/nbZ39kvDvvzcLcQh,財務分析,advanced,財務分析,
9,稅務風險偵測,分析稅務申報與稅則資料，預警重分類、折舊估算等潛在稅務風險。,http://122.100.99.161:8080/chat/dzBsSZxXHn5j5Gfj,財務分析,advanced,財務分析,
6,產品設計優化分析,整合使用者回饋與測試數據，自動調整設計參數提升效能。,http://122.100.99.161:8080/chat/9LwoLa4HxAScX4nd,研發輔助,advanced,研發輔助,
9,競品技術拆解比較,運用圖像與文本比對分析競品設計與性能差異。,http://122.100.99.161:8080/chat/qtt1BX8wPDz9Tvy7,研發輔助,advanced,研發輔助,
11,跨專案知識重用建議,建立知識圖譜，自動推薦相似專案解法與技術路徑。,http://122.100.99.161:8080/chat/rjtWTP27gCiUjui6,研發輔助,advanced,研發輔助,
14,預測測試失敗率,根據歷史測試資料與產品結構，預測各階段失敗機率。,http://122.100.99.161:8080/chat/2K7JpmQYHL85NGOZ,研發輔助,advanced,研發輔助,
17,材料老化與壽命預測,建模推估材料在不同條件下的劣化速度與可靠壽命。,http://122.100.99.161:8080/chat/YKDQIXQemiU3pdYD,研發輔助,advanced,研發輔助,
4,客戶流失異常分析,分析客戶退訂、停用或異常行為，提前預警大客戶流失風險。,http://122.100.99.161:8080/chat/lh7XaInQy4Mf2EN6,風險控管,advanced,風險控管,
7,法律與訴訟風險識別,分析合約條款與外部訴訟資料，辨識高風險案件與條款。,http://122.100.99.161:8080/chat/WkgWNN3uvvuzRamu,風險控管,advanced,風險控管,
1,標準作業流程自動生成,根據既有作業記錄與部門訪談或是能擬定自動生成清晰的SOP文件草稿。,http://122.100.99.161:8080/chat/wvj07iZrgVJoEZoS,文書管理,advanced,文書管理,
2,會議記錄即時整理,AI聽寫與摘要技術，自動產出會議紀錄與待辦事項清單。,http://122.100.99.161:8080/chat/D8ifriqYKw9Bs9Py,文書管理,advanced,文書管理,
3,年度計畫書草擬輔助,依據往年資料與最新目標，自動生成計畫書大綱與預算草案建議。,http://122.100.99.161:8080/chat/fbE4JkjP1w2kd5yw,文書管理,advanced,文書管理,
4,產品規格書智能建議,從開發輸入與技術規格自動整理產品規格文件，支援版本控管。,http://122.100.99.161:8080/chat/C2gB1ZhtNoiiQV29,文書管理,advanced,文書管理,
5,簡報自動生成,根據文字說明與數據，AI生成PowerPoint格式提案或簡報初稿。,http://122.100.99.161:8080/chat/zBAludjB6GpU3loC,文書管理,advanced,文書管理,
6,履歷與招募文案自動撰寫,根據職務需求自動產出JD、招募貼文與候選人摘要報告。,http://122.100.99.161:8080/chat/FdWxkTBjtd5RCUCk,文書管理,advanced,文書管理,
7,表單與公文範本自動套用,提供格式統一的行政表單、公文模板與自動填寫欄位功能。,http://122.100.99.161:8080/chat/05CLivmHsAYfQK2U,文書管理,advanced,文書管理,
8,商業合約初稿生成,依據合約類型與條款需求，自動產出合約草稿供法務審核。,http://122.100.99.161:8080/chat/udGO5CTKUiN6OchK,文書管理,advanced,文書管理,
9,專案進度報告生成,結合進度表與工時紀錄，自動撰寫周報或月報內容。,http://122.100.99.161:8080/chat/VFhxzBgu0xyLVtoK,文書管理,advanced,文書管理,
10,政策公告撰寫建議,分析過往公告風格，自動生成公告語句與格式建議。,http://122.100.99.161:8080/chat/iotoTFxqpKwieIXB,文書管理,advanced,文書管理,
11,FAQ與內部知識文件整理,分析客服與內部對話，建構常見問答與知識庫維護內容。,http://122.100.99.161:8080/chat/3pp3IpGTRkfiAk9d,文書管理,advanced,文書管理,
12,內部培訓教材生成,結合課程目標與歷年教材，快速產出投影片與教材內容草稿。,http://122.100.99.161:8080/chat/cyRWrul81QqSMAuZ,文書管理,advanced,文書管理,
15,多語系翻譯校對輔助,協助文件在中英日之間進行語意等值的翻譯與潤稿。,http://122.100.99.161:8080/chat/teFUEj4kAaC9wP9J,文書管理,advanced,文書管理,
16,主管核閱摘要生成,針對長文件或報告，自動產出供主管閱讀的摘要與建議。,http://122.100.99.161:8080/chat/MtooZyOZ3ZeyCNEP,文書管理,advanced,文書管理,
17,文書風格標準化建議,提供語調與格式一致性建議，強化公司對外文件品牌形象。,http://122.100.99.161:8080/chat/p8eBxUcTsFRYMXzS,文書管理,advanced,文書管理,
18,文件版本比對與差異摘要,自動比對文件版本異動並產出差異說明摘要。,http://122.100.99.161:8080/chat/pQG7NNKjlRpx7rVZ,文書管理,advanced,文書管理,
20,部門工作日誌AI摘要,每日工作紀錄自動彙整並摘要為主管可閱格式。,http://122.100.99.161:8080/chat/xvzFVA1PzC1xRZIT,文書管理,advanced,文書管理,
